pT(jet) [GeV],pT(jet) [GeV] LOW,pT(jet) [GeV] HIGH,Cross_Section_Zee [pb],stat +,stat -,syst +,syst -,lumi +,lumi -
40,30,50,0.0283,0.0011,-0.0011,0.0074,-0.0074,0.0006,-0.0006
60,50,70,0.0569,0.0012,-0.0012,0.0101,-0.0101,0.0013,-0.0013
80,70,90,0.0523,0.0013,-0.0013,0.0069,-0.0069,0.0012,-0.0012
100,90,110,0.0438,0.0012,-0.0012,0.0051,-0.0051,0.001,-0.001
120,110,130,0.0308,0.001,-0.001,0.0033,-0.0033,0.0007,-0.0007
140,130,150,0.0226,0.0009,-0.0009,0.0021,-0.0021,0.0005,-0.0005
160,150,170,0.0173,0.0008,-0.0008,0.0015,-0.0015,0.0004,-0.0004
185,170,200,0.01207,0.00057,-0.00057,0.00108,-0.00108,0.00028,-0.00028
225,200,250,0.00707,0.00037,-0.00037,0.00057,-0.00057,0.00016,-0.00016
275,250,300,0.00411,0.00028,-0.00028,0.00034,-0.00034,0.0001,-0.0001
325,300,350,0.00217,0.00019,-0.00019,0.00023,-0.00023,5.00E-05,-5.00E-05
375,350,400,0.001223,0.000147,-0.000147,0.000145,-0.000145,2.90E-05,-2.90E-05
450,400,500,0.000484,6.60E-05,-6.60E-05,5.90E-05,-5.90E-05,1.20E-05,-1.20E-05
