pT(jet) [GeV],pT(jet) [GeV] LOW,pT(jet) [GeV] HIGH,Cross_Section_Zmm [pb],stat +,stat -,syst +,syst -,lumi +,lumi -
40,30,50,0.0279,0.001,-0.001,0.0068,-0.0068,0.0006,-0.0006
60,50,70,0.0547,0.001,-0.001,0.0101,-0.0101,0.0012,-0.0012
80,70,90,0.0522,0.0011,-0.0011,0.0069,-0.0069,0.0012,-0.0012
100,90,110,0.0423,0.0011,-0.0011,0.0048,-0.0048,0.001,-0.001
120,110,130,0.0319,0.0009,-0.0009,0.0032,-0.0032,0.0007,-0.0007
140,130,150,0.0235,0.0008,-0.0008,0.0022,-0.0022,0.0005,-0.0005
160,150,170,0.0171,0.0007,-0.0007,0.0014,-0.0014,0.0004,-0.0004
185,170,200,0.01321,0.00055,-0.00055,0.00106,-0.00106,0.0003,-0.0003
225,200,250,0.0078,0.00036,-0.00036,0.00065,-0.00065,0.00018,-0.00018
275,250,300,0.004,0.00026,-0.00026,0.00033,-0.00033,9.00E-05,-9.00E-05
325,300,350,0.00191,0.00017,-0.00017,0.00018,-0.00018,4.00E-05,-4.00E-05
375,350,400,0.001215,0.000136,-0.000136,0.000123,-0.000123,2.80E-05,-2.80E-05
450,400,500,0.000628,7.30E-05,-7.30E-05,7.00E-05,-7.00E-05,1.50E-05,-1.50E-05
