pT(jet) [GeV],'pT(jet) [GeV] LOW','pT(jet) [GeV] HIGH',xerr,Cross_Section_Zll [pb],stat +,stat -,syst +,syst -,lumi +,lumi -,,
40,30,50,10,0.0281,0.0011,-0.0011,0.007,-0.007,0.0006,-0.0006,,#: table_doi: 10.17182/hepdata.76542.v2/t21
60,50,70,10,0.0557,0.0012,-0.0012,0.0099,-0.0099,0.0013,-0.0013,,#: name: Table 21
80,70,90,10,0.0524,0.0012,-0.0012,0.0067,-0.0067,0.0012,-0.0012,,#: description: Measured fiducial cross sections for the leading jet $p_{\text{T}}$ in $Z/\gamma^*(\rightarrow\ell\ell)$+>=3 jet events. The statistical
100,90,110,10,0.043,0.0011,-0.0011,0.0047,-0.0047,0.001,-0.001,,#: data_file: xsect_hJet1Pt3jT_comb.yaml
120,110,130,10,0.0315,0.0009,-0.0009,0.0031,-0.0031,0.0007,-0.0007,,#: keyword reactions: P P --> Z0 X
140,130,150,10,0.0231,0.0008,-0.0008,0.002,-0.002,0.0005,-0.0005,,#: keyword observables: DSIG/DJETPT3J
160,150,170,10,0.0172,0.0006,-0.0006,0.0013,-0.0013,0.0004,-0.0004,,#: keyword cmenergies: 13000.0
185,170,200,15,0.01273,0.00051,-0.00051,0.00095,-0.00095,0.00029,-0.00029,,#: keyword phrases: Single Differential Cross Section | Cross Section | Proton-Proton Scattering | Z Production
225,200,250,25,0.00749,0.00032,-0.00032,0.00052,-0.00052,0.00017,-0.00017,,#: 
275,250,300,25,0.00407,0.00024,-0.00024,0.00025,-0.00025,9.00E-05,-9.00E-05,,
325,300,350,25,0.00204,0.00016,-0.00016,0.00014,-0.00014,5.00E-05,-5.00E-05,,
375,350,400,25,0.00122,0.000121,-0.000121,7.70E-05,-7.70E-05,2.80E-05,-2.80E-05,,
450,400,500,50,0.000561,6.00E-05,-6.00E-05,3.80E-05,-3.80E-05,1.30E-05,-1.30E-05,,
