pT(jet) [GeV],'pT(jet) [GeV] LOW','pT(jet) [GeV] HIGH',xerr,Cross_Section_Zll [pb],stat +,stat -,syst +,syst -,lumi +,lumi -,,,,
40,30,50,10,0.00294,0.00039,-0.00039,0.00114,-0.00114,7.00E-05,-7.00E-05,,,,
60,50,70,10,0.00836,0.0005,-0.0005,0.00213,-0.00213,0.00019,-0.00019,,,,
80,70,90,10,0.01013,0.00053,-0.00053,0.0018,-0.0018,0.00024,-0.00024,,#: table_doi: 10.17182/hepdata.76542.v2/t24,,
100,90,110,10,0.01022,0.00053,-0.00053,0.00159,-0.00159,0.00024,-0.00024,,#: name: Table 24,,
120,110,130,10,0.00831,0.00047,-0.00047,0.00116,-0.00116,0.0002,-0.0002,,#: description: Measured fiducial cross sections for the leading jet $p_{\text{T}}$ in $Z/\gamma^*(\rightarrow\ell\ell)$+>=4 jet events. The statistical, systematic, and luminosity uncertainties are given.
140,130,150,10,0.0066,0.00041,-0.00041,0.0008,-0.0008,0.00016,-0.00016,,#: data_file: xsect_hJet1Pt4jT_comb.yaml,,
160,150,170,10,0.00547,0.00037,-0.00037,0.00064,-0.00064,0.00013,-0.00013,,#: keyword reactions: P P --> Z0 X,,
185,170,200,15,0.00412,0.00029,-0.00029,0.00045,-0.00045,0.0001,-0.0001,,#: keyword observables: DSIG/DJETPT4J,,
225,200,250,25,0.00274,0.00019,-0.00019,0.00027,-0.00027,7.00E-05,-7.00E-05,,#: keyword cmenergies: 13000.0,,
275,250,300,25,0.00165,0.00015,-0.00015,0.00014,-0.00014,4.00E-05,-4.00E-05,,#: keyword phrases: Single Differential Cross Section | Cross Section | Proton-Proton Scattering | Z Production,,
350,300,400,50,0.000724,6.90E-05,-6.90E-05,6.10E-05,-6.10E-05,1.80E-05,-1.80E-05,,#: ,,
450,400,500,50,0.000267,4.10E-05,-4.10E-05,2.40E-05,-2.40E-05,7.00E-06,-7.00E-06,,,,
